UNITID,MDCOST_ALL,GRAD_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,MDEARN_PD,COUNT_NWNE_1YR,COUNT_WNE_1YR,PCTPELL,CDR2,CDR3,PELL_EVER,RPY_7YR_RT,GT_THRESHOLD_P11,COUNT_ED,AGE_ENTRY,FEMALE,MARRIED,DEPENDENT,VETERAN,FIRST_GEN,FAMINC,POVERTY_RATE,UNEMP_RATE
154341,NA,12000,NA,NA,NA,NA,NA,0.5778,NA,0.087,0.7945205479,0.7209302326,NA,NA,25.424657534,0.8356164384,0.1917808219,0.4383561644,NA,0.4426229508,34523.534247,NA,NA
154350,NA,27000,22500,21500,NA,NA,NA,0.2868,NA,0.038,0.4372759857,0.8980477223,NA,NA,21.829151732,0.56869773,0.0740740741,0.8410991637,NA,0.2649253731,78589.60454,NA,NA
154378,NA,9566.5,5500,5057,NA,NA,NA,0.4967,NA,0.224,0.8253638254,0.5728451564,NA,NA,24.44005544,0.6008316008,0.1413721414,0.571032571,0.0138600139,0.4531981279,33918.647263,NA,NA
154396,NA,10704.5,6158.5,5500,NA,NA,NA,0.41,NA,0.202,0.7527472527,0.5707762557,NA,NA,23.401098901,0.543956044,0.1296703297,0.6824175824,NA,0.4178921569,41369.532967,NA,NA
154448,NA,8750,NA,NA,NA,NA,NA,0.6346,NA,0.052,0.7192982456,0.6089385475,NA,NA,23.877192982,0.9473684211,0.0877192982,0.5438596491,NA,0.4306220096,40187.20614,NA,NA
154457,NA,11416,NA,NA,NA,NA,NA,0.7467,NA,0.116,NA,0.5238095238,NA,NA,24.865384615,NA,NA,0.4038461538,NA,NA,29602.788462,NA,NA
154466,NA,7830,NA,NA,NA,NA,NA,0.5474,NA,0.043,0.8493150685,0.4455445545,NA,NA,22.452054795,NA,NA,0.5342465753,NA,0.55,31937.068493,NA,NA
154493,NA,20392.5,12500,11900,NA,NA,NA,0.468,NA,0.078,0.7239583333,0.7221499783,NA,NA,30.280092593,0.6791087963,0.3139467593,0.232349537,0.0202546296,0.4596273292,40496.385127,NA,NA
154518,NA,19088,7964,9367.5,NA,NA,NA,0.5687,NA,0.126,0.6738013699,0.7463768116,NA,NA,29.997431507,0.4229452055,0.3998287671,0.3321917808,NA,0.4647342995,52757.208904,NA,NA
154527,NA,27000,23125,23500,NA,NA,NA,0.231,NA,0.04,0.4272608126,0.906048906,NA,NA,19.665792923,0.5281782438,NA,0.9737876802,NA,0.1517241379,89022.640891,NA,NA
154536,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154545,NA,9500,NA,NA,NA,NA,NA,0.5714,NA,0.058,NA,0.3908045977,NA,NA,27.472222222,0.6388888889,NA,NA,NA,NA,16923.888889,NA,NA
154572,NA,9500,5500,5500,NA,NA,NA,0.3462,NA,0.205,0.8167911775,0.65,NA,NA,24.782283885,0.5681252223,0.1380291711,0.5474919957,0.0060476699,0.4561108778,35749.578086,NA,NA
154590,NA,25000,15750,11947,NA,NA,NA,0.4839,NA,0.158,0.7145522388,0.6781519186,NA,NA,24.206156716,0.4617537313,0.1595149254,0.6660447761,0.0093283582,0.4323770492,49422.545709,NA,NA
154642,NA,6500,3861,4190,NA,NA,NA,0.4001,NA,0.18,0.825203252,0.5513513514,NA,NA,24.203252033,0.6447154472,0.1430894309,0.5764227642,0.0113821138,0.4763670065,36518.673984,NA,NA
154688,NA,25250,20412.5,20412.5,NA,NA,NA,0.3774,NA,0.053,0.5403726708,0.7888307155,NA,NA,26.419254658,0.6014492754,0.2391304348,0.5062111801,NA,0.3435114504,69065.414079,NA,NA
