UNITID,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,INEXPFTE,ENDOWBEGIN,ENDOWEND
100654,9096,16596,6892,7437,NA,NA
100663,7510,17062,9957,17920,392284979,424547661
100690,6900,6900,3430,5532,174805,174804
100706,9158,21232,9302,10211,69929806,74366851
100724,8720,15656,6609,7618,73546541,86468050
100751,9826,24950,9667,10239,617611309,667980131
100760,3491,6576,5815,6847,340265,338983
100812,NA,NA,7711,6446,2365949,2777919
100830,9080,19640,7255,6837,43933312,47424072
100858,10200,27384,9487,11704,526128048,593270763
100937,31708,31708,7451,10658,50042970,53921439
101028,4320,7710,5878,4207,51020,51184
101073,10320,10320,5812,6755,NA,NA
101116,16360,16360,4517,6605,NA,NA
101143,3976,7140,6309,5522,899856,917061
101161,4260,7650,6119,4157,NA,NA
101189,18750,18750,6485,5826,18015943,19111352
101240,3168,5880,6185,5831,3019474,3223466
101277,NA,NA,NA,1961,NA,NA
101286,3960,7350,5479,6181,118895,124181
101295,4260,7650,6018,5159,NA,NA
101301,3960,7350,5134,5861,NA,NA
101365,12790,12790,5065,5800,NA,NA
101435,24550,24550,5772,6435,44721770,46921408
101453,9792,9792,4346,9085,8515507,9141335
101462,3384,6096,5583,4944,NA,NA
101471,4752,4752,5947,14186,NA,NA
101480,7092,13884,6801,7283,11256873,12125392
101499,3968,7358,5504,5279,321445,322433
101505,4320,7710,6026,4733,1183639,1187919
101514,4260,7650,6106,3706,NA,NA
101541,16258,16258,5715,11427,15093396,16646068
101569,4290,7710,5849,6161,585000,585000
101587,8018,14886,6146,7552,327572,396600
101602,4230,7620,5854,6246,NA,NA
101648,8778,14778,5916,5088,2765773,2987650
101675,11604,11604,4404,5140,16954732,18354136
101693,19475,19475,4914,6766,20199568,22102795
101709,10660,21220,7437,7972,16589568,18119935
101736,4231,7621,6132,5099,750749,734778
101879,7412,13268,7424,7218,25252050,28150998
101897,4260,7650,6027,5637,79833,67626
101912,16720,16720,5147,7701,10333321,12014468
101949,4260,7650,5711,5962,NA,NA
101958,9685,9685,3750,9188,NA,NA
101994,4320,7710,5851,9032,NA,NA
102030,4260,7650,5987,5895,149999,150481
102049,27324,27324,8367,14553,294872360,323843012
102058,6680,6680,2989,6907,NA,NA
102067,3960,7350,5339,4615,NA,NA
102076,4320,7710,6300,3230,2567759,2368319
102094,7188,14076,7195,10870,157112000,174138000
102234,32468,32468,6071,7460,20520876,22874407
102261,11370,11370,4554,4617,1498852,1508350
102270,15865,15865,4597,9567,18267643,17344861
102298,12509,12509,5186,8739,3306091,3318382
102313,3336,6048,5942,8227,NA,NA
102368,7564,14092,6246,5643,528918,578351
102377,19570,19570,8399,14344,115273882,130243897
102395,NA,NA,5569,3335,1000000,1000000
102429,4290,7680,6093,6554,147298,148059
102553,5494,16466,8640,10594,50217064,54153430
102580,9300,9300,2201,9585,57471,57605
102614,5246,16238,9175,16892,78974513,90621496
102632,5901,16705,7863,12814,4078273,4634380
102669,19610,19610,5804,11261,102565270,103679684
102711,NA,NA,6530,21957,NA,NA
102845,19532,19532,4004,2617,NA,NA
103501,NA,NA,3861,4178,NA,NA
103644,12204,12204,9181,7785,NA,NA
103723,NA,NA,NA,15126,NA,NA
103732,NA,NA,NA,13914,NA,NA
103741,NA,NA,NA,6111,NA,NA
103778,NA,NA,13694,55110,24804249,28327909
103787,11700,11700,2491,8378,109862,110366
103811,NA,NA,NA,5458,NA,NA
103893,NA,NA,3929,3582,NA,NA
103909,NA,NA,4148,6542,NA,NA
103927,NA,NA,3047,2581,NA,NA
103945,16968,16968,5438,3873,NA,NA
103954,NA,NA,NA,6566,NA,NA
103963,NA,NA,NA,7086,NA,NA
104090,NA,NA,5679,6269,NA,NA
104151,10157,24503,10647,9671,552789000,625833000
104160,2480,8085,6175,5285,1786961,1799300
104179,10957,29421,10303,12071,611746000,760679000
104188,23069,23069,4652,2963,NA,NA
104346,2400,10440,6105,6512,4142419,4650642
104364,13203,13203,5464,3883,NA,NA
104391,NA,NA,NA,1830,NA,NA
104425,1800,6000,6501,3140,5257327,6664987
104434,NA,NA,NA,6584,NA,NA
104443,NA,NA,NA,6356,NA,NA
104504,NA,NA,NA,3265,NA,NA
104568,NA,NA,NA,3770,NA,NA
104577,2000,9200,8186,5555,NA,NA
104586,31648,31648,8536,14781,0,24646477
104665,NA,NA,5208,38544,NA,NA
104708,2046,7830,9014,4684,NA,NA
104717,17050,17050,5792,1837,NA,NA
104911,NA,NA,NA,5705,NA,NA
105145,2046,7830,9051,5491,NA,NA
105154,2046,7830,9266,4701,NA,NA
105163,18048,18048,5136,1722,NA,NA
105172,18048,18048,5229,1925,NA,NA
105206,2088,6888,5437,3613,3754265,4372538
105215,NA,NA,NA,3365,NA,NA
105297,725,725,5768,9532,4644078,6300768
105330,9990,22510,7987,7510,107274943,136074000
105349,1664,7640,6020,6303,12414,12414
105367,11670,11670,6026,1771,2838801,2724748
105428,2046,7830,10008,5044,NA,NA
105482,NA,NA,NA,5427,NA,NA
105525,1844,8048,5403,3914,4506939,4929224
105534,NA,NA,6249,2713,NA,NA
105543,NA,NA,5225,3033,NA,NA
105589,26415,26415,4386,7738,1204649,1457048
105659,NA,NA,3374,1491,NA,NA
105668,2046,7830,9599,2173,NA,NA
105677,NA,NA,NA,9626,NA,NA
105701,NA,NA,NA,6080,NA,NA
105747,2046,7830,9505,6584,NA,NA
105792,2046,7830,9437,5705,NA,NA
105899,22466,22466,5030,6537,1923396,1928167
105987,NA,NA,NA,3443,NA,NA
106041,NA,NA,5008,3241,NA,NA
106102,6000,6000,7104,3306,NA,NA
106111,NA,NA,NA,7609,NA,NA
106148,1896,8088,6621,5818,8688053,9624376
106245,7432,17764,7881,7485,74671942,84967951
106263,NA,NA,8025,62580,29496000,32764000
106281,NA,NA,NA,10718,NA,NA
106306,8040,8040,4021,4684,NA,NA
106315,NA,NA,NA,3417,NA,NA
106324,NA,NA,NA,3272,NA,NA
106342,24300,24300,6404,10540,44341429,45020624
106351,NA,NA,NA,1702,NA,NA
106360,NA,NA,NA,5724,NA,NA
106397,8210,20300,9085,9069,819813727,929693370
106412,6178,11908,5485,7827,1741022,3415911
106449,2808,4518,4972,4949,146914,169409
106458,7720,13480,6927,5358,42838381,46041385
106467,5862,10878,6083,4516,20351024,22641430
106485,6082,12052,5434,7186,2580447,2880119
106494,NA,NA,NA,5534,NA,NA
106546,8402,8402,NA,5108,NA,NA
106625,2688,5232,4606,4328,NA,NA
106704,7889,13806,6562,6788,23705777,25952861
106713,13800,13800,5007,5018,2515648,2736455
106795,2332,5212,4855,5918,76785,77489
106810,11800,11800,3603,3030,1303145,1315915
106829,1350,1350,NA,7567,NA,NA
106883,2610,3390,5196,4156,279027,282226
106892,NA,NA,NA,1740,NA,NA
106908,NA,NA,NA,3538,NA,NA
106980,3140,4540,4602,5816,860854,928140
106999,2262,3942,4511,6530,NA,NA
107044,17040,17040,7185,9684,105172399,117046106
107071,7860,14220,5624,6495,14724336,16150544
107080,39290,39290,7333,11426,173280855,179657921
107099,NA,NA,NA,5496,NA,NA
107123,NA,NA,6232,4721,NA,NA
107141,23588,23588,6451,7556,80324375,92843034
107211,NA,NA,NA,5915,NA,NA
107220,NA,NA,NA,3470,NA,NA
107293,NA,NA,NA,5929,NA,NA
107318,2554,7594,4402,12448,2145369,2283132
107327,1954,3634,5023,9608,3653576,3477652
107363,NA,NA,NA,4544,NA,NA
107442,NA,NA,NA,1857,NA,NA
107460,1896,4176,5141,5405,3745770,4245113
107488,2321,2321,NA,9710,NA,NA
107512,23320,23320,6255,8934,84143933,87394023
107521,3310,5950,4353,5258,NA,NA
107549,2680,5032,4489,3782,1478506,1587556
107558,24470,24470,6124,9797,92157588,100535743
107585,2732,3788,4855,3836,33000,39000
107600,12564,12564,4672,6539,9624110,10732470
107619,2583,4315,4369,6863,NA,NA
107637,3070,5590,4715,4811,544425,549558
107655,NA,NA,NA,1973,NA,NA
107664,4013,5753,5125,3618,1340886,1571082
107725,2281,4396,4528,5506,2151740,2167367
107743,2352,5280,4813,4541,NA,NA
107789,NA,NA,NA,4460,NA,NA
107831,NA,NA,NA,850,NA,NA
107840,4200,4200,3133,1006,254586,141000
107877,14360,14360,4720,5047,10406395,12645874
107974,2330,4442,4628,6799,1335233,1218423
107983,7736,11186,6269,6436,3189609,3508491
107992,4677,6117,4435,6710,845433,950271
108065,NA,NA,NA,720,NA,NA
108092,4727,10511,6722,5534,70115940,79376123
108232,19740,19740,7237,12136,NA,NA
108250,18048,18048,6706,3361,NA,NA
108269,NA,NA,NA,4146,NA,NA
108348,NA,NA,NA,1471,NA,NA
108649,NA,NA,NA,3878,NA,NA
108667,1144,6256,7344,3772,NA,NA
108807,1346,6750,8056,4454,16354387,21125985
108852,30650,30650,7147,6652,1710098,1710098
108861,NA,NA,5199,17070,5096660,5297847
108870,NA,NA,6723,6831,7561179,7961927
108977,NA,NA,NA,2623,NA,NA
109040,NA,NA,5023,3829,NA,NA
109086,NA,NA,7732,17174,23403043,25302449
109208,1104,7272,8099,3481,NA,NA
109350,1104,5664,8440,3710,2564789,2628980
109651,37830,37830,7051,19131,69706000,85148000
109721,NA,NA,NA,5156,NA,NA
109730,NA,NA,NA,5107,NA,NA
109785,33096,33096,9360,10128,63909526,58088961
109819,1324,7120,8195,4564,NA,NA
109907,1104,5400,7936,3890,378867,398787
109934,NA,NA,NA,4349,NA,NA
110060,9120,9120,2413,3426,NA,NA
110097,33322,33322,9060,10696,93043117,113668417
110185,20112,20112,6497,8556,NA,NA
110194,NA,NA,NA,2909,NA,NA
110219,11850,11850,4305,5522,NA,NA
110246,1364,6164,7473,4664,2112063,2185811
110307,NA,NA,6725,9380,19268,19269
110316,NA,NA,8743,10901,1382723,1386723
110334,1358,5698,7606,6668,16755434,17671181
110361,29422,29422,8550,8080,14019392,15774938
110370,41942,41942,9021,15586,30334000,32096000
110398,NA,NA,12653,23717,32806799,37519407
110404,43362,43362,18138,92590,1960435000,2118100000
110413,37140,37140,9808,8294,61760588,86235853
110422,8918,20078,8767,9610,184355094,207485860
110468,16350,16350,9331,8800,1333343,1261586
110486,6792,17952,8249,6431,20178522,19552385
110495,6686,17846,8039,8321,10263794,11500561
110510,6550,17710,8521,6809,21312719,24588236
110529,6904,18064,9036,7308,69271861,86644218
110538,7002,18162,8243,6913,35624731,36111573
110547,6139,17299,8172,6715,12165790,13500381
110556,6299,17459,8111,6613,136018304,153535264
110565,6315,17475,8561,7739,42724221,50355029
110574,6564,17724,8628,7087,10684335,10812559
110583,6452,17612,8669,7681,50573929,57046044
110592,6348,17508,8683,6587,17355399,19515537
110608,6549,17709,8457,6730,66980817,81369974
110617,6648,17808,8470,7426,28981610,32297235
110635,12972,35850,15194,18988,1411707000,1671939000
110644,13896,36774,12587,22820,252719000,320745000
110653,13179,36057,13297,18713,261488000,310163000
110662,12705,35583,15841,40020,1411797000,1616045000
110671,13407,36285,11880,10948,111234000,136003000
110680,13427,36305,13689,24195,471858000,534912000
110699,NA,NA,11486,116672,766144000,912957000
110705,13865,36743,13665,11314,126046000,144379000
110714,13397,36275,12428,8835,61658000,80262000
110778,NA,NA,6303,10016,NA,NA
110875,NA,NA,NA,1064,NA,NA
110918,8540,8540,796,3655,99305,103645
111009,14774,14774,5499,7026,NA,NA
111054,NA,NA,NA,4456,NA,NA
111081,42260,42260,6484,21618,115310499,137535200
111188,6536,17696,8317,15227,5335426,6687086
111391,NA,NA,12414,14395,21853178,24308916
111434,1452,8022,8558,4342,NA,NA
111461,1154,5474,9480,4541,1691793,1705293
111513,NA,NA,NA,5149,NA,NA
111638,NA,NA,6361,5567,NA,NA
111708,NA,NA,NA,5335,NA,NA
111717,NA,NA,NA,7301,NA,NA
111726,NA,NA,NA,6154,NA,NA
111744,NA,NA,NA,8052,NA,NA
111762,NA,NA,NA,6845,NA,NA
111799,NA,NA,NA,6375,NA,NA
111887,1346,7506,9376,5301,NA,NA
111896,1290,7086,8591,4399,NA,NA
111920,1138,6970,8167,5154,NA,NA
111939,1153,6073,8245,4268,NA,NA
111948,45393,45393,11197,14025,229506000,273823000
111966,12436,12436,7372,18391,61873500,76672000
112075,30640,30640,6855,5536,12223641,17642781
112084,27090,27090,5924,7034,642861,653888
112127,NA,NA,6269,18911,17275621,17562428
112172,1176,6144,8829,3536,2403342,2487742
112181,NA,NA,NA,3957,NA,NA
112190,1290,7246,7666,7752,NA,NA
112251,NA,NA,13446,27210,171759196,190098597
112260,47395,47395,12751,25915,599147000,699493000
112288,NA,NA,NA,2319,NA,NA
112367,NA,NA,NA,3069,NA,NA
112385,1136,5432,9761,3077,844130,970816
112394,16160,16160,7513,8102,NA,NA
112446,20800,20800,3499,2769,NA,NA
112455,NA,NA,NA,1857,NA,NA
112525,NA,NA,9907,28406,13205041,15493770
112561,1150,6406,8196,4750,296432,296433
112570,18975,18975,NA,3652,NA,NA
112686,1142,5678,7839,4378,NA,NA
112826,1298,7038,8007,5237,3562789,3855911
113096,1104,7272,8102,3396,NA,NA
113111,1142,5606,8339,3004,NA,NA
113193,1234,6408,7176,4817,7287144,7572242
113218,1386,6896,7459,3667,NA,NA
113236,1138,6226,10741,3839,NA,NA
113333,1542,8247,8513,4273,11223544,12282099
113397,NA,NA,NA,5105,NA,NA
113449,NA,NA,NA,1543,NA,NA
113537,12750,12750,3036,4767,NA,NA
113573,1316,6832,9735,6007,19872142,21725131
113582,17547,17547,5349,3299,NA,NA
113634,1298,7038,7775,4784,3811460,4420393
113698,41730,41730,8357,14391,27259987,34786972
113704,NA,NA,3299,15743,1082391,1183795
113856,1220,6810,6699,4148,NA,NA
113908,NA,NA,NA,5225,NA,NA
113980,1142,5678,8710,4906,NA,NA
114044,NA,NA,NA,1468,NA,NA
114071,NA,NA,NA,4786,NA,NA
114080,NA,NA,NA,5674,NA,NA
114114,NA,NA,NA,3127,NA,NA
114123,NA,NA,3731,4867,NA,NA
114266,1326,7010,8549,8745,19970407,19630294
114354,29930,29930,2982,8393,NA,NA
114390,29930,29930,2310,9270,NA,NA
114415,29930,29930,2232,7507,NA,NA
114433,1446,7266,5450,7393,39354,39353
114460,NA,NA,NA,2851,NA,NA
114549,NA,NA,6157,12415,4196194,4810300
114585,NA,NA,3636,3085,NA,NA
114637,NA,NA,NA,6746,NA,NA
114716,1551,8256,8679,5280,7896634,9004035
114734,NA,NA,7491,14929,4010325,4901221
114761,NA,NA,NA,2308,NA,NA
114789,1188,6828,8534,3954,5193543,5989697
114813,26638,26638,6342,6076,11445801,12779152
114840,NA,NA,5867,10196,174842000,210081000
114859,1138,6010,10713,3874,NA,NA
114938,1246,6654,8887,5526,NA,NA
114947,NA,NA,NA,9665,NA,NA
115001,1175,5663,8281,4703,9393221,10825416
115010,NA,NA,4167,4127,NA,NA
115083,14640,14640,12153,9078,65787439,70876119
115126,1176,5472,9677,3639,1462806,1682343
115214,NA,NA,6793,4010,29351307,33458151
115296,1387,6897,7993,4010,NA,NA
115357,NA,NA,NA,2223,NA,NA
115393,1420,7060,8449,5133,4712427,4930355
115409,48594,48594,12765,30078,241583964,283696431
115454,13620,13620,6423,3112,NA,NA
115472,13620,13620,5217,2555,NA,NA
115490,13620,13620,6085,2255,NA,NA
115515,13620,13620,4153,3552,NA,NA
115533,13620,13620,6020,3409,NA,NA
115658,NA,NA,NA,1103,NA,NA
115728,34488,34488,9842,8413,12528301,14887244
115746,NA,NA,7990,10504,NA,NA
115755,7171,18331,8118,8376,24901110,28200383
115773,12456,12456,6356,3801,178841,196396
115861,1365,7525,7089,3087,1238700,1729262
115931,NA,NA,NA,3530,NA,NA
116226,18045,18045,9748,3778,NA,NA
116350,NA,NA,NA,2890,NA,NA
116439,1326,6030,8621,3727,NA,NA
116466,18048,18048,5294,1702,NA,NA
116475,18048,18048,6423,2040,NA,NA
116484,18048,18048,6042,1951,NA,NA
116563,NA,NA,NA,4767,NA,NA
116712,NA,NA,5886,9682,3805752,4539558
116846,29132,29132,7266,16048,21622002,22962937
117052,1198,6838,8335,3877,1275414,1723499
117104,12860,12860,6317,3228,3069721,3365916
117113,18748,18748,5794,4730,NA,NA
117140,36744,36744,9344,6518,47975967,63243924
117168,27300,27300,7133,10188,1732085,2066653
117195,1221,6642,6567,4710,430634,436634
117238,NA,NA,NA,4220,NA,NA
117247,1144,6256,7822,4469,NA,NA
117274,1127,5903,7375,3630,NA,NA
117520,NA,NA,4996,12829,NA,NA
117557,10105,10105,3250,4452,NA,NA
117575,14244,14244,3674,5040,115270,115260
117627,29895,29895,7132,11966,16144391,16573743
117636,NA,NA,7373,25295,272175000,324865000
117645,1182,6702,6021,4117,NA,NA
117672,NA,NA,5412,8440,81000,81000
117690,1220,6834,5849,4654,NA,NA
117706,1220,6810,6361,4199,NA,NA
117715,1220,6810,4800,5216,NA,NA
117724,1220,6810,6929,5883,NA,NA
117733,1220,6810,7418,4368,NA,NA
117751,29860,29860,6693,7546,16184451,17162714
117788,1220,6810,6822,4766,NA,NA
117803,NA,NA,9088,21675,465016,464918
117867,1220,6810,5496,5191,NA,NA
117894,1298,7038,7005,5414,1000371,919434
117928,18748,18748,5778,6223,NA,NA
117946,41597,41597,10215,15175,412034000,458000000
117955,NA,NA,NA,3741,NA,NA
118116,NA,NA,NA,7507,NA,NA
118125,NA,NA,NA,7110,NA,NA
118134,NA,NA,NA,4677,NA,NA
118143,NA,NA,NA,3591,NA,NA
118161,NA,NA,NA,4679,NA,NA
118189,NA,NA,NA,4550,NA,NA
118198,NA,NA,3296,2370,NA,NA
118259,NA,NA,5184,2527,NA,NA
118277,NA,NA,6291,4584,NA,NA
118286,NA,NA,4604,2974,NA,NA
118347,1420,7570,8147,8367,1141934,1009910
118356,NA,NA,NA,4678,NA,NA
118541,31932,31932,7787,8062,8204979,9854137
118684,1422,5892,8092,7047,8331718,8988904
118693,37520,37520,12023,7655,27667859,29078564
118718,1138,5890,7855,4927,6325323,6788556
118772,1144,6256,7979,4557,NA,NA
118888,42918,42918,10011,15534,174542793,189288277
118912,1152,5784,11698,3895,4911877,5364847
118921,NA,NA,NA,4891,NA,NA
118930,1174,6070,7761,6323,NA,NA
118958,NA,NA,NA,2952,NA,NA
118967,NA,NA,5684,3148,NA,NA
118976,1150,6406,8395,3469,6341764,7055349
118994,NA,NA,NA,2467,NA,NA
119058,NA,NA,9328,6993,74141971,82440298
119067,1170,5586,7865,4909,NA,NA
119137,1388,7050,8378,3347,NA,NA
119164,1348,7424,9347,5827,NA,NA
119173,34826,34826,8340,9347,108548818,127590736
119216,1386,7656,8895,3250,2271114,2192779
119234,20388,20388,6250,6435,NA,NA
119270,23985,23985,748,9586,NA,NA
119331,1142,5942,8008,4083,NA,NA
119359,14400,14400,9487,4356,NA,NA
119456,NA,NA,NA,4939,NA,NA
119465,NA,NA,NA,4377,NA,NA
119508,14400,14400,7803,4321,NA,NA
119544,8196,8196,5812,11831,NA,NA
119553,NA,NA,NA,9484,NA,NA
119605,12384,12384,9203,3197,479699171,581250875
119678,NA,NA,13290,NA,NA,NA
119775,21920,21920,7151,7892,NA,NA
119845,NA,NA,NA,2974,NA,NA
119951,NA,NA,NA,4494,NA,NA
120069,NA,NA,NA,2666,NA,NA
120078,NA,NA,NA,2487,NA,NA
120087,NA,NA,NA,2123,NA,NA
120184,31822,31822,8365,7045,16308359,19653282
120254,47522,47522,10599,17405,356767066,406096354
120272,NA,NA,NA,2042,NA,NA
120290,1162,6394,9596,4319,1964501,1964500
120342,1184,6584,9928,3503,2500183,2875408
120403,40490,40490,7184,14922,14414257,16004612
120421,1388,7050,8003,3871,NA,NA
120537,27130,27130,6827,6137,4749827,5540617
120661,NA,NA,5640,4367,NA,NA
120698,NA,NA,8825,18464,681822,681996
120740,NA,NA,9191,12575,12506928,11362085
120768,NA,NA,6204,5778,6090655,6625394
120795,NA,NA,7504,19228,36385831,38935783
120838,16036,16036,3000,3404,NA,NA
120865,28131,28131,5863,10227,22665695,26242596
120883,41342,41342,10193,18824,334439760,386440000
120953,1288,7364,7696,5020,1193904,1303133
120971,1336,5648,9442,5128,3146155,3533414
121017,NA,NA,NA,2914,NA,NA
121044,1152,6168,8320,4364,NA,NA
121150,46692,46692,11472,11639,715660000,790483000
121257,47020,47020,10083,25056,118357867,134877145
121275,23250,23250,4300,4468,NA,NA
121309,31406,31406,9435,8862,39529525,47308783
121345,45832,45832,12421,37082,1823441000,2101461000
121363,1322,7118,7969,4355,NA,NA
121381,15852,15852,4316,2884,NA,NA
121433,NA,NA,NA,1133,NA,NA
121619,1142,5318,9344,4561,634516,687346
121628,NA,NA,NA,6884,25191989,31746031
121637,NA,NA,NA,3395,NA,NA
121691,43186,43186,9748,9254,110785456,127521593
121707,1182,6846,7939,6030,4344180,4419180
121859,NA,NA,NA,2696,NA,NA
121868,NA,NA,NA,2223,NA,NA
121886,1356,6760,9278,5408,1836692,2051918
121901,1426,7366,9728,4440,3011781,3385990
121983,13663,13663,5993,6663,NA,NA
121992,NA,NA,NA,3257,NA,NA
122117,NA,NA,4125,2261,NA,NA
122126,NA,NA,5311,7808,NA,NA
122180,1104,7272,7949,3417,NA,NA
122205,1142,5702,9221,3911,NA,NA
122296,NA,NA,10111,15669,27081349,27351845
122339,1142,5774,5933,5414,NA,NA
122366,17150,17150,4549,4212,NA,NA
122375,1142,5774,6585,4558,NA,NA
122384,1142,5774,5205,5312,NA,NA
122409,6866,18026,9277,6812,162007250,201130987
122436,42908,42908,12190,13897,395588887,468766000
122454,40096,40096,5241,8735,8090211,9313771
122506,40992,40992,10800,24420,37278000,41221000
122597,6468,17628,9248,8331,41269108,47988587
122603,NA,NA,7646,22285,45881158,48586727
122612,41450,41450,12667,15387,237734000,276944000
122649,NA,NA,7604,7771,507635,568089
122658,1104,6432,9337,4080,NA,NA
122685,NA,NA,5097,4866,NA,NA
122728,24990,24990,6715,6551,1481369,1684054
122746,1324,7010,9926,11396,NA,NA
122755,7323,18483,9171,8357,99869021,119265488
122791,1418,6206,9176,6370,NA,NA
122834,14642,14642,4294,3232,NA,NA
122843,15140,15140,4696,3313,NA,NA
122852,15226,15226,4848,3244,NA,NA
122889,1374,6836,5520,5812,27136998,30802236
122931,43812,43812,11761,12668,NA,NA
122977,1140,7836,10111,4725,8322676,9366023
123013,1280,6599,8597,6154,34985072,37917204
123095,NA,NA,6715,7022,NA,NA
123165,47378,47378,10754,28832,282289240,310536027
123208,NA,NA,8530,4220,NA,NA
123217,1362,6138,8187,4523,7998607,8209823
123280,11160,11160,2681,2253,NA,NA
123299,1183,6223,9226,3837,2092733,2098435
123341,1150,6190,7087,3734,2657710,2786541
123350,NA,NA,NA,1006,NA,NA
123396,12000,12000,NA,3244,NA,NA
123448,NA,NA,8420,5335,154001,178858
123457,24300,24300,6256,6351,5139359,5521964
123484,1146,6450,6270,7326,1011937,1168600
123493,NA,NA,NA,2508,NA,NA
123509,1447,6199,8416,4053,NA,NA
123527,1238,4420,8496,3141,NA,NA
123554,41380,41380,10123,12896,143902513,166475802
123563,1416,7386,7820,5874,NA,NA
123572,7276,18436,8659,7664,31924535,32328202
123581,NA,NA,4109,17809,NA,NA
123633,NA,NA,3817,1499,NA,NA
123642,NA,NA,3461,3202,NA,NA
123651,30050,30050,8419,6750,3905251,4960106
123679,NA,NA,6043,6918,NA,NA
123800,1336,5452,8920,4411,NA,NA
123855,NA,NA,3956,20413,65964390,76329093
123916,NA,NA,9596,10963,7086921,7445691
123943,NA,NA,8786,41743,6533524,7451765
123952,40262,40262,10504,12626,983340,1922000
123961,48280,48280,13355,43170,3868355000,4593014000
123970,NA,NA,11646,13269,11324682,13735958
124113,1380,7170,8887,6427,628935,697917
124283,NA,NA,7009,13361,13619517,11218611
124292,24500,24500,9237,11783,14789700,16900850
124344,NA,NA,NA,5317,NA,NA
124487,9689,9689,1367,4769,NA,NA
124681,NA,NA,4350,3960,NA,NA
124706,NA,NA,5584,6310,NA,NA
124779,NA,NA,NA,4274,NA,NA
124937,NA,NA,5586,6531,NA,NA
125028,1388,7050,8144,3496,NA,NA
125082,NA,NA,NA,1915,NA,NA
125091,1114,5746,10313,5111,NA,NA
125170,1144,6256,7638,3167,NA,NA
125231,12240,12240,6627,2921,NA,NA
125310,NA,NA,NA,3374,NA,NA
125462,1380,8490,7897,4275,NA,NA
125471,1220,6810,5781,5100,NA,NA
125499,1186,4978,7633,6142,NA,NA
125532,NA,NA,6157,5183,NA,NA
125718,NA,NA,7264,9721,450966,451966
125727,39990,39990,7654,14047,73917634,84368978
125763,41836,41836,8993,11796,88827089,99829110
125897,35048,35048,7005,11338,18184273,20896047
126012,NA,NA,7003,12111,4809744,6742979
126030,NA,NA,8217,12470,NA,NA
126049,NA,NA,13672,8477,NA,NA
126076,13300,13300,5852,7998,NA,NA
126119,1144,6184,7690,5825,NA,NA
126164,NA,NA,NA,2468,NA,NA
126182,8014,18814,5861,8399,652489,67762
126207,1835,10424,6348,7641,0,1158500
126289,3392,12690,4832,3733,NA,NA
126359,11213,11213,3797,3395,NA,NA
126401,14400,14400,7023,4801,NA,NA
126562,8500,22852,9568,26708,NA,NA
126580,7462,17494,6840,7813,NA,NA
126605,15266,15266,3676,4592,NA,NA
126614,10789,33151,10452,14987,151807140,186837783
126669,26430,26430,5832,3354,3387516,4086210
126678,46410,46410,10743,21002,NA,NA
126687,NA,NA,5641,7365,NA,NA
126702,17632,17632,5144,4820,NA,NA
126711,1548,7788,8120,8866,8049868,8042151
126748,3718,5917,5510,9613,NA,NA
126775,16918,33598,10474,14527,193917535,231605058
126784,NA,NA,3700,4583,NA,NA
126818,9897,26277,9205,10857,259082704,297089069
126827,11327,11327,6974,3724,NA,NA
126854,NA,NA,NA,6599,NA,NA
126863,3394,12692,6067,4328,11000,11001
126872,16968,16968,4433,4604,NA,NA
126915,NA,NA,NA,6988,NA,NA
126924,9685,9685,NA,9059,NA,NA
126942,3394,12692,4579,3685,NA,NA
126951,NA,NA,3823,7496,NA,NA
126979,NA,NA,5408,7674,8806281,11398366
127024,15207,15207,4903,3887,NA,NA
127060,42090,42090,9916,14380,403466570,467252915
127158,NA,NA,NA,3055,NA,NA
127185,7252,17780,7697,6479,6209471,7187927
127200,3365,12693,6424,4063,457964,497300
127219,NA,NA,NA,2724,NA,NA
127228,NA,NA,NA,2338,NA,NA
127273,NA,NA,6702,14582,28448971,28966655
127316,NA,NA,NA,2972,NA,NA
127389,3357,5722,5005,3917,51720,51729
127556,7116,17720,6471,5710,19284010,23012802
127565,6070,18888,7415,5132,1253912,3008576
127617,3394,12692,5724,5097,1904932,2639132
127653,29970,29970,5957,9606,5957688,6792014
127680,13071,13071,3667,1986,NA,NA
127699,13071,13071,5615,7330,NA,NA
127714,11400,11400,4890,4540,1982691,2170756
127732,3394,4892,5285,5492,1048708,1049254
127741,7733,19277,7590,8348,73727261,83071771
127778,4033,6990,5124,5666,491387,490889
127787,15000,15000,2505,5397,NA,NA
127820,3227,12525,5950,3552,2563510,2718873
127839,NA,NA,3251,2962,NA,NA
127884,3672,13049,4934,5333,NA,NA
127909,3394,12693,5499,4131,NA,NA
127918,33060,33060,6541,6455,48318389,52876660
127945,19468,19468,4257,7333,NA,NA
127954,NA,NA,NA,1863,NA,NA
128106,7834,18775,6532,5205,12416369,14223157
128151,2376,4656,NA,6411,NA,NA
128179,NA,NA,3220,9783,NA,NA
128188,NA,NA,2990,5663,NA,NA
128258,4171,7127,5014,6484,7291111,6086841
128328,NA,NA,8503,27223,NA,NA
128337,NA,NA,NA,5510,NA,NA
128391,7874,18319,6316,8328,NA,NA
128425,8850,8850,2840,37901,NA,NA
128498,28930,28930,7219,5428,5433307,6474325
128540,NA,NA,NA,4289,NA,NA
128577,3866,11558,7082,8091,137046,137046
128586,6300,6300,NA,14322,NA,NA
