UNITID,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,INEXPFTE,ENDOWBEGIN,ENDOWEND
462354,24900,24900,6794,10134,30000,30001
462363,18048,18048,NA,1894,NA,NA
462372,18048,18048,4201,1177,NA,NA
462390,9480,9480,NA,5436,NA,NA
465812,16968,16968,2580,1954,NA,NA
466152,13071,13071,3350,1655,NA,NA
466161,13071,13071,NA,1472,NA,NA
466170,13071,13071,NA,1358,NA,NA
466189,13071,13071,NA,1225,NA,NA
466514,14040,14040,3234,5192,NA,NA
466523,NA,NA,NA,3650,NA,NA
466921,17280,17280,5761,5854,NA,NA
466930,17280,17280,6629,8466,NA,NA
467058,18048,18048,6250,2030,NA,NA
467094,NA,NA,NA,3138,NA,NA
467155,NA,NA,NA,4732,NA,NA
467340,NA,NA,NA,2570,NA,NA
467368,NA,NA,4492,5913,NA,NA
467508,NA,NA,NA,5208,NA,NA
467517,NA,NA,NA,6606,NA,NA
467526,NA,NA,NA,6448,NA,NA
467535,NA,NA,NA,7850,NA,NA
467544,NA,NA,NA,6018,NA,NA
467553,NA,NA,NA,10621,NA,NA
467562,NA,NA,NA,11525,NA,NA
467571,NA,NA,NA,8207,NA,NA
467580,NA,NA,NA,5888,NA,NA
467599,NA,NA,NA,5642,NA,NA
467605,NA,NA,NA,7812,NA,NA
467614,NA,NA,NA,7420,NA,NA
467623,NA,NA,NA,7738,NA,NA
467632,NA,NA,NA,4669,NA,NA
467641,NA,NA,NA,8530,NA,NA
467650,NA,NA,NA,10220,NA,NA
467669,NA,NA,NA,6298,NA,NA
467678,NA,NA,NA,5159,NA,NA
467784,NA,NA,NA,4277,NA,NA
467793,13500,13500,4251,8913,NA,NA
467809,NA,NA,NA,9151,NA,NA
467863,NA,NA,NA,4361,NA,NA
467872,NA,NA,NA,4059,NA,NA
467881,NA,NA,NA,4545,NA,NA
467906,NA,NA,NA,6749,NA,NA
468006,NA,NA,NA,6245,NA,NA
468015,17668,17668,4662,4510,NA,NA
468024,16360,16360,6798,6737,NA,NA
468246,NA,NA,NA,3911,NA,NA
468255,NA,NA,NA,5664,NA,NA
468398,17025,17025,4416,5036,NA,NA
468705,NA,NA,NA,808,NA,NA
468723,6495,6495,2167,810,NA,NA
468732,NA,NA,NA,4211,NA,NA
468769,NA,NA,NA,6316,NA,NA
468866,NA,NA,NA,1693,NA,NA
468875,NA,NA,NA,1149,NA,NA
468893,NA,NA,NA,1930,NA,NA
468963,10245,10245,NA,9777,NA,NA
469054,NA,NA,NA,1863,NA,NA
469124,NA,NA,NA,2764,NA,NA
469133,NA,NA,NA,1792,NA,NA
469142,NA,NA,NA,1835,NA,NA
469151,NA,NA,NA,3077,NA,NA
469160,NA,NA,NA,1413,NA,NA
469197,NA,NA,NA,987,NA,NA
469407,9260,9260,NA,2560,NA,NA
469416,9260,9260,2400,1097,NA,NA
469586,NA,NA,NA,827,NA,NA
469610,NA,NA,NA,4705,NA,NA
469629,NA,NA,4313,3251,NA,NA
469638,NA,NA,NA,6777,NA,NA
469647,NA,NA,NA,4965,NA,NA
469911,NA,NA,NA,3971,NA,NA
469920,NA,NA,NA,3360,NA,NA
469957,NA,NA,NA,6753,NA,NA
469993,NA,NA,NA,3000,NA,NA
470047,NA,NA,3333,4875,NA,NA
470092,14968,14968,4559,6112,NA,NA
470162,12123,12123,4345,2777,NA,NA
470223,NA,NA,NA,536,NA,NA
470296,NA,NA,NA,1475,NA,NA
470302,NA,NA,NA,807,NA,NA
470393,NA,NA,NA,4671,NA,NA
470852,NA,NA,NA,5457,NA,NA
470861,18048,18048,5406,1636,NA,NA
470870,18048,18048,NA,1576,NA,NA
470889,NA,NA,5107,2535,NA,NA
470898,18048,18048,NA,2585,NA,NA
470904,18048,18048,NA,1476,NA,NA
474863,10300,10300,6210,1445,NA,NA
474881,22720,22720,4442,7359,NA,NA
474890,16968,16968,3396,1761,NA,NA
474906,16968,16968,4983,4351,NA,NA
474915,NA,NA,NA,3937,NA,NA
474924,NA,NA,NA,4818,NA,NA
474933,NA,NA,NA,2619,NA,NA
474942,NA,NA,NA,1942,NA,NA
474997,18003,18003,4370,3721,NA,NA
475015,NA,NA,NA,3632,NA,NA
475024,NA,NA,NA,3083,NA,NA
475033,NA,NA,7065,16254,NA,NA
475042,12123,12123,4813,3176,NA,NA
475060,9225,9225,3474,2609,NA,NA
475079,10500,10500,3861,2890,NA,NA
475097,NA,NA,NA,33569,NA,NA
475121,14647,14647,5597,2144,NA,NA
475130,NA,NA,4972,3686,NA,NA
475185,2100,2100,2981,21826,NA,NA
475194,10335,10335,3732,3446,NA,NA
475200,NA,NA,5144,7510,108080939,125935087
475255,NA,NA,NA,2194,NA,NA
475273,NA,NA,7396,4464,55654326,66260741
475282,NA,NA,NA,2983,NA,NA
475291,15638,15638,4351,5507,NA,NA
475325,NA,NA,NA,2416,NA,NA
475352,13392,13392,2975,3829,NA,NA
475370,13932,13932,2724,3396,NA,NA
475389,NA,NA,NA,3081,NA,NA
475398,NA,NA,4583,679,NA,NA
475404,NA,NA,NA,5992,NA,NA
475413,NA,NA,NA,1741,NA,NA
475422,10665,10665,6364,5883,NA,NA
475431,NA,NA,NA,4516,NA,NA
475459,NA,NA,NA,3110,NA,NA
475468,NA,NA,NA,4332,NA,NA
475477,12782,12782,3500,8977,NA,NA
475486,NA,NA,NA,3535,NA,NA
475495,NA,NA,8447,6321,NA,NA
475501,NA,NA,NA,5730,NA,NA
475510,NA,NA,5593,16775,NA,NA
475529,9685,9685,NA,10165,NA,NA
475538,NA,NA,NA,3975,NA,NA
475547,NA,NA,NA,5422,NA,NA
475556,NA,NA,NA,3501,NA,NA
475565,4842,7542,6114,10508,15000000,16773449
475574,NA,NA,NA,5726,NA,NA
475583,15345,15345,2917,2851,NA,NA
475592,12160,12160,2429,8022,NA,NA
475608,7870,7870,6194,8559,10683459,12304368
475617,13932,13932,3284,3748,NA,NA
475626,NA,NA,NA,2667,NA,NA
475635,22338,22338,1589,2575,NA,NA
475644,7550,7550,NA,2300,NA,NA
475653,NA,NA,NA,2467,NA,NA
475662,NA,NA,NA,972,NA,NA
475680,NA,NA,NA,6322,NA,NA
475699,17712,17712,4948,2984,NA,NA
475705,NA,NA,NA,12182,NA,NA
475714,NA,NA,5071,1882,NA,NA
475723,NA,NA,NA,7562,NA,NA
475732,17280,17280,6103,5910,NA,NA
475741,17280,17280,6396,6889,NA,NA
475750,NA,NA,NA,5039,NA,NA
475839,8000,8000,NA,16892,NA,NA
475866,12060,12060,3055,2900,NA,NA
476063,NA,NA,NA,2290,NA,NA
