GENDER_SB	ETHNICITY_SB	FED_NUM_2008_SB	FED_NUM_2007_SB	FED_NUM_2006_SB	FED_NUM_2005_SB	FED_NUM_2004_SB	FED_NUM_2003_SB	FED_NUM_2002_SB	FED_NUM_2001_SB	FED_NUM_2000_SB	FED_NUM_1999_SB	FED_NUM_1998_SB	FED_NUM_1997_SB	FED_NUM_1996_SB	FED_NUM_1995_SB	FED_DEN_2008_SB	FED_DEN_2007_SB	FED_DEN_2006_SB	FED_DEN_2005_SB	FED_DEN_2004_SB	FED_DEN_2003_SB	FED_DEN_2002_SB	FED_DEN_2001_SB	FED_DEN_2000_SB	FED_DEN_1999_SB	FED_DEN_1998_SB	FED_DEN_1997_SB	FED_DEN_1996_SB	FED_DEN_1995_SB
M	aa	13760	13575	12809	12589	12231	11895	11382	10876	10859	171753	9679	9158	8784	8620	33489	33497	32254	32116	32557	31637	29994	28553	27703	295357	26922	25374	25150	25595
M	other	57543	54644	51613	47811	43827	41209	38683	37729	35553	221699	30842	28226	26654	24548	91025	87337	83118	77437	72270	68203	64928	63772	60277	347977	53902	50274	48123	45138
M	wh	153145	151169	150747	146983	146718	144132	137111	134741	131062	221699	122393	115858	111572	109487	235625	233896	233812	229330	232774	228681	220427	218048	213649	347977	203621	195087	191248	189420
W	aa	25107	24867	23718	23059	22575	22847	21844	21255	21231	221699	18843	18051	17463	16611	49860	49819	48525	48307	48785	48014	44835	42818	42480	347977	39868	38493	38005	37503
W	other	72243	68106	64702	60367	55172	52108	50092	48121	45096	221699	39588	34742	31927	29744	104475	99571	95410	90556	82604	79049	76769	73533	68598	347977	62421	56149	51742	49093
W	wh	187493	185060	184654	179018	182080	180442	172758	167773	165353	221699	153618	145218	139274	135437	266630	266211	267090	262259	269194	267283	257570	251628	249369	347977	234775	223250	216936	214485
