GENDER_SB	ETHNICITY_SB	FED_NUM_2008_SB	FED_NUM_2007_SB	FED_NUM_2006_SB	FED_NUM_2005_SB	FED_NUM_2004_SB	FED_NUM_2003_SB	FED_NUM_2002_SB	FED_NUM_2001_SB	FED_NUM_2000_SB	FED_NUM_1999_SB	FED_NUM_1998_SB	FED_NUM_1997_SB	FED_NUM_1996_SB	FED_NUM_1995_SB	FED_DEN_2008_SB	FED_DEN_2007_SB	FED_DEN_2006_SB	FED_DEN_2005_SB	FED_DEN_2004_SB	FED_DEN_2003_SB	FED_DEN_2002_SB	FED_DEN_2001_SB	FED_DEN_2000_SB	FED_DEN_1999_SB	FED_DEN_1998_SB	FED_DEN_1997_SB	FED_DEN_1996_SB	FED_DEN_1995_SB
M	aa	4226	3992	3883	3433	3482	3615	3024	3024	2906	33771	2624	2538	2538	2589	14275	14103	13507	12260	12036	12048	10652	11288	10054	83372	8570	8388	8842	8067
M	other	11665	11457	10892	9594	10628	7815	7552	7643	6828	51987	6253	5799	6074	5667	27048	26976	25431	22198	23111	18819	18594	18689	16837	105371	17126	14343	15221	14408
M	wh	28954	28395	27558	27175	26517	25266	25386	23991	23635	51987	23294	22482	22335	21350	59505	58708	57932	56975	56591	54256	54554	52904	53085	105371	52247	51104	52570	51033
W	aa	7792	6925	6686	6171	5843	5890	5302	5606	5346	51987	5158	4392	4425	3914	19685	18902	18473	16853	15336	15593	14179	15037	13587	105371	12439	11873	12184	10376
W	other	17594	16519	16017	14300	14927	11978	11873	11657	10457	51987	9204	9096	9357	8617	33772	33094	31772	28330	28927	24462	24102	23659	21465	105371	22365	18454	19400	18116
W	wh	44221	41174	41385	39625	39724	38104	37902	35794	36210	51987	34472	33381	32672	31089	77862	74066	74568	72825	73088	70832	69949	67070	68484	105371	65847	64335	64700	62718
