unitid,athletic_revenues,royalties,tv_revenue,ticket_sales,subsidy,direct_state_govt_support,ncaa_distributions,indirect_facil_admin_support,endowments,other_revenues,athletic_expenses,student_fees,net_revenue
234030,27957707,2585672,0,2022580,19035500,0,539771,343611,0,3774184,27511166,18428036,446541
433660,14434002,342064,0,1020820,9891551,0,448194,682975,159128,2731373,12640775,6005242,1793227
140164,17516033,596242,0,99151,14907125,0,427381,1400946,7081,1486134,16630159,11984062,885874
157447,11951518,336242,0,132219,10113985,0,31600,1502360,227473,1337472,11430808,0,520710
136172,10453436,222232,0,132363,7916145,0,617138,180531,143603,1565558,10236045,7082459,217391
218742,7138589,111110,88,39305,5834118,7000,278641,436111,0,875415,7143471,4162902,-4882
235097,12858386,107264,0,344136,9153007,0,599377,1022235,0,2654602,13360741,2256000,-502355
142285,18920916,736100,75000,791987,9381453,2515797,834318,495585,419243,7177058,18920334,2269389,582
142276,12503225,538712,9293,243762,7476288,3250200,608536,0,18314,3635927,12491220,2019527,12005
180489,20609017,940474,90466,5611729,8642945,0,504961,762521,222581,4908908,20539725,1493206,69292
180461,18787426,990547,6000,2867699,10561845,0,887616,1618666,138891,3479719,18610685,1739101,176741
200280,23815870,1112135,239916,4296792,13357249,0,517840,1254416,0,4531854,23936729,3143330,-120859
105330,15235528,707870,0,398567,11956387,2952428,655016,0,44559,1517688,15009485,0,226043
127741,13339533,376095,0,399271,9688815,0,740141,486970,314194,2135211,13438008,2020321,-98475
209807,13402378,254333,0,250586,10041697,972942,565384,0,2014,2290378,14401920,3702909,-999542
230603,10598596,127800,0,129278,7961064,0,1028260,870305,2925,1352194,10589364,1268817,9232
230782,13377335,525117,16884,508888,8883487,0,1056435,1396308,101570,2403408,13407076,2009728,-29741
232566,9774504,203004,0,22648,8416143,0,189644,88,0,943065,9650604,8416055,123900
199111,6340084,371006,0,130813,4623708,0,292804,906267,28547,921753,6324972,2401677,15112
233277,13100864,369155,0,46771,11237598,0,527476,0,0,919864,12423704,11237598,677160
218964,12549290,210951,0,129927,10775669,0,484830,1150902,256365,947913,12301745,5816385,247545
181464,94797692,13140048,2488673,40450062,0,0,16098749,0,34477,25108833,94613589,0,184103
110644,31062590,1155933,0,557085,25136071,0,1700378,3522723,84413,2513123,29531570,19431295,1531020
110653,16762755,334651,0,367840,13369049,0,572554,562313,21118,2118661,16856259,3523080,-93504
