NAME,LABEL
b70,Total Number of Assistant Coaches in Women's Team for Male Full Time Coaching Duties
b71,Total Number of Assistant Coaches in Women's Team for Male Part Time Coaching Duties
b72,Total Number of Assistant Coaches in Women's Team for Male Full Time University Employee
b73,Total Number of Assistant Coaches in Women's Team for Male Part Time University Employee or Volunteer
b74,Total Number of Assistant Coaches in Women's Team for Female Full Time Coaching Duties
b75,Total Number of Assistant Coaches in Women's Team for Female Part Time Coaching Duties
b76,Total Number of Assistant Coaches in Women's Team for Female Full Time University Employee
b77,Total Number of Assistant Coaches in Women's Team for Female Part Time University Employee or Volunteer
b78,Total Number of Total Assistant Coaches in Women's Team
b79,Total Number of Assistant Coaches in Coed Team for Male Full Time Coaching Duties
b80,Total Number of Assistant Coaches in Coed Team for Male Part Time Coaching Duties
b81,Total Number of Assistant Coaches in Coed Team for Male Full Time University Employee
b82,Total Number of Assistant Coaches in Coed Team for Male Part Time University Employee or Volunteer
b83,Total Number of Assistant Coaches in Coed Team for Female Full Time Coaching Duties
b84,Total Number of Assistant Coaches in Coed Team for Female Part Time Coaching Duties
b85,Total Number of Assistant Coaches in Coed Team for Female Full Time University Employee
b86,Total Number of Assistant Coaches in Coed Team for Female Part Time University Employee or Volunteer
b87,Total Number of Total Assistant Coaches in Coed Team
b88,"Total number of Assistant Coaches in Men's Team, Women's Team and Coed Team for Male Full Time Coaching Duties"
b89,"Total number of Assistant Coaches in Men's Team, Women's Team and Coed Team for Male Part Time Coaching Duties"
b90,"Total number of Assistant Coaches in Men's Team, Women's Team and Coed Team for Male Full Time University Employee"
b91,"Total number of Assistant Coaches in Men's Team, Women's Team and Coed Team for Male Part Time University Employee or Volunteer"
b92,"Total number of Assistant Coaches in Men's Team, Women's Team and Coed Team for Female Full Time Coaching Duties"
b93,"Total number of Assistant Coaches in Men's Team, Women's Team and Coed Team for Female Part Time Coaching Duties"
b94,"Total number of Assistant Coaches in Men's Team, Women's Team and Coed Team for Female Full Time University Employee"
b95,"Total number of Assistant Coaches in Men's Team, Women's Team and Coed Team for Female Part Time University Employee or Volunteer"
b96,"Total number of Total Assistant Coaches in Men's Team, Women's Team and Coed Team"
b97,"Total Revenues per Team for Men of all Sports, Except Football and Basketball Combined"
b98,"Total Revenues per Team for Women of all Sports, Except Football and Basketball Combine"
b99,"Total Revenues per Team for Men and Women of all Sports, Except Football and Basketball Combine"
b100,Total Revenues per Team for Coed Men
