  --------------------------- ----------------------------------------------------
  NAME                        LABEL
  IL_COED_FTUNIVEMP_MALE      Total # Coed HD Coach/Male/FTEmp

  IL_COED_PTUNIVEMP_MALE      Total # Coed HD Coach/Male/PTEmp

  IL_COED_FTHDCOACH_FEM       Total # Coed HD Coach/Female/Full-Time

  IL_COED_PTHDCOACH_FEM       Total # Coed HD Coach/Female/Part-Time

  IL_COED_FTUNIVEMP_FEM       Total # Coed HD Coach/Female/FTEmp

  IL_COED_PTUNIVEMP_FEM       Total # Coed HD Coach/Female/PTEmp

  IL_COED_TOTAL_HDCOACH       Total # Coed Team HD Coaches

  IL_SUM_FTHDCOACH_MALE       Total # Male HD Coaches/Men/Women/Coed/Full-Time

  IL_SUM_PTHDCOACH_MALE       Total # Male HD Coaches/Men/Women/Coed/Part-Time

  IL_SUM_FTUNIVEMP_MALE       Total # Male HD Coaches/Men/Women/Coed/FTEmp

  IL_SUM_PTUNIVEMP_MALE       Total # Male HD Coaches/Men/Women/Coed/PTEmp

  IL_SUM_FTHDCOACH_FEM        Total # Female HD Coaches/Men/Women/Coed/Full-Time

  IL_SUM_PTHDCOACH_FEM        Total # Female HD Coaches/Men/Women/Coed/Part-Time

  IL_SUM_FTUNIVEMP_FEM        Total # Female HD Coaches/Men/Women/Coed/FTEmp

  IL_SUM_PTUNIVEMP_FEM        Total # Female HD Coaches/Men/Women/Coed/PTEmp

  IL_SUM_TOTAL_HDCOACH        Total # HD Coaches/Men/Women/Coed Teams

  IL_MEN_FTASCOACH_MALE       Total # Men's Assist. Coach/Male/Full-Time

  IL_MEN_PTASCOACH_MALE       Total # Men's Assist. Coach/Male/Part-Time

  IL_MEN_FTACUNIVEMP_MALE     Total # Men's Assist. Coach/Male/FTEmp

  IL_MEN_PTACUNIVEMP_MALE     Total # Men's Assist. Coach/Male/PTEmp

  IL_MEN_FTASSTCOACH_FEM      Total # Men's Assist. Coach/Female/Full-Time

  IL_MEN_PTASSTCOACH_FEM      Total # Men's Assist. Coach/Female/Part-Time

  IL_MEN_FTACUNIVEMP_FEM      Total # Men's Assist. Coach/Female/FTEmp

  IL_MEN_PTACUNIVEMP_FEM      Total # Men's Assist. Coach/Female/PTEmp

  IL_MEN_TOTAL_ASSTCOACH      Total Number of Total Assist. Coaches in Men's Team

  IL_WOMEN_FTASCOACH_MALE     Total # Women's Assist. Coach/Male/Full-Time

